SpeciesName,Genus,Family,Order,Class,Phylum,spec_code,Lmax,TL (trophic level),DepthRangeDeep,K,tm (age of maturity),tmax (maximum age),Lm (length of maturity),EnvTemp,DemersPelag,environment,Marine,Brackish,Freshwater,Macroinvert?,Edible?,FisheriesImportance
Bouvieraxius longipes,Bouvieraxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15146,,,,,,,,temperate,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bouvieraxius rudis,Bouvieraxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15147,,,420,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bouvieraxius springeri,Bouvieraxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15148,,,60,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calastacus colpos,Calastacus,Axiidae,Decapoda,Malacostraca,Arthropoda,15227,,,1171,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calastacus mexicanus,Calastacus,Axiidae,Decapoda,Malacostraca,Arthropoda,15228,,,640,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calaxius acutirostris,Calaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15149,,,400,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calaxius oxypleurus,Calaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15154,,,365,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calaxius sibogae,Calaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15156,,,305,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calocarides coronatus,Calocarides,Axiidae,Decapoda,Malacostraca,Arthropoda,15158,,,690,,,,,temperate,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calocarides quinqueseriatus,Calocarides,Axiidae,Decapoda,Malacostraca,Arthropoda,15163,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calocarides soyoi,Calocarides,Axiidae,Decapoda,Malacostraca,Arthropoda,15166,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calocarides spinulicauda,Calocarides,Axiidae,Decapoda,Malacostraca,Arthropoda,15167,,,,,,,,temperate,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calocaris caribbaeus,Calocaris,Axiidae,Decapoda,Malacostraca,Arthropoda,15229,,,1272,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calocaris macandreae,Calocaris,Axiidae,Decapoda,Malacostraca,Arthropoda,26150,,2.11,,,5,10,,temperate,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Coralaxius galapagensis,Coralaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15169,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Coralaxius nodulosus,Coralaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15171,,,230,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Dorphinaxius kermadecensis,Dorphinaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15188,,,5,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius agassizi,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15174,,,1574,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius albatrossae,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15175,,,,,,,,polar,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius antillensis,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15177,,,1065,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius borradailei,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15180,,,324,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius caribbaeus,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15181,,,622,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius cristagalli,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15184,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius kermadeci,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15189,,,1100,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius parvus,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15193,,,950,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius rotundifrons,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15194,,,2506,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eiconaxius sibogae,Eiconaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15195,,,,,,,,deep-water,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eutrichocheles crosnieri,Eutrichocheles,Axiidae,Decapoda,Malacostraca,Arthropoda,130828,,,30,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Eutrichocheles modestus,Eutrichocheles,Axiidae,Decapoda,Malacostraca,Arthropoda,15234,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Levantocaris hornungae,Levantocaris,Axiidae,Decapoda,Malacostraca,Arthropoda,140970,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Montanaxius mediumquod,Montanaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,171123,,,1135,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Neaxius acanthus,Neaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15200,,2,26,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Neaxius trondlei,Neaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,155902,,,20,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Oxyrhynchaxius japonicus,Oxyrhynchaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15203,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Oxyrhynchaxius tricarinatus,Oxyrhynchaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,162256,,,600,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Parascytoleptus tridens,Parascytoleptus,Axiidae,Decapoda,Malacostraca,Arthropoda,15204,,,5,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis bisquamosa,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,15206,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis brocki,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,15207,,,5,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis foveolata,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,15209,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis gracilimana,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,15210,,,40,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis granulimana,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,15211,,,95,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis hispida,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,15212,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis spinipleura,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,15215,,,6,,,,,tropical,reef-associated,marine,TRUE,FALSE,FALSE,Yes,,
Paraxiopsis tuamotu,Paraxiopsis,Axiidae,Decapoda,Malacostraca,Arthropoda,156017,,,140,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Scytoleptus barbatus,Scytoleptus,Axiidae,Decapoda,Malacostraca,Arthropoda,167646,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Scytoleptus serripes,Scytoleptus,Axiidae,Decapoda,Malacostraca,Arthropoda,15218,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Spongiaxius novaezealandiae,Spongiaxius,Axiidae,Decapoda,Malacostraca,Arthropoda,15220,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Barbouria cubensis,Barbouria,Barbouriidae,Decapoda,Malacostraca,Arthropoda,139364,,,2,,,,,tropical,benthopelagic,"marine, freshwater",TRUE,FALSE,TRUE,Yes,,
Janicea antiguensis,Janicea,Barbouriidae,Decapoda,Malacostraca,Arthropoda,161975,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bathypalaemonella hayashii,Bathypalaemonella,Bathypalaemonellidae,Decapoda,Malacostraca,Arthropoda,161709,,,815,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bathypalaemonella pandaloides,Bathypalaemonella,Bathypalaemonellidae,Decapoda,Malacostraca,Arthropoda,20749,,,508,,,,,tropical,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Bathypalaemonella serratipalma,Bathypalaemonella,Bathypalaemonellidae,Decapoda,Malacostraca,Arthropoda,24619,,,2750,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bathypalaemonella texana,Bathypalaemonella,Bathypalaemonellidae,Decapoda,Malacostraca,Arthropoda,24620,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bathypalaemonetes brevirostris,Bathypalaemonetes,Bathypalaemonellidae,Decapoda,Malacostraca,Arthropoda,161710,,,410,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bathypalaemonetes pilosipes,Bathypalaemonetes,Bathypalaemonellidae,Decapoda,Malacostraca,Arthropoda,161711,,,852,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Acanthocyclus albatrossis,Acanthocyclus,Belliidae,Decapoda,Malacostraca,Arthropoda,154503,,3.31,15,,,,,temperate,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Altelatipes carinatus,Altelatipes,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25522,,,3150,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Amalopenaeus elegans,Amalopenaeus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25531,,,5330,,,,,subtropical,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Bentheogennema borealis,Bentheogennema,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25517,,,2560,,,,,subtropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Bentheogennema burkenroadi,Bentheogennema,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25518,,,2000,,,,,temperate,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Bentheogennema intermedia,Bentheogennema,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25519,,3.36,5100,,,,,subtropical,pelagic-oceanic,marine,TRUE,FALSE,FALSE,Yes,,
Bentheogennema pasithea,Bentheogennema,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13802,,,1000,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Bentheogennema stephenseni,Bentheogennema,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13803,,,1617,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus altus,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13804,12,,3385,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus armatus,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13805,15.7,,2753,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus bartletti,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25520,11.5,,5777,,,,,deep-water,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus brasiliensis,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25521,15.2,,4720,,,,,deep-water,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus brevirostris,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,14587,,,,,,,,temperate,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus cereus,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25523,7.6,,3840,,,,,deep-water,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus crenatus,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25524,20,4.16,9726,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus hjorti,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13806,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus howensis,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,161713,2.4,,1325,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus investigatoris,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13808,8.95,4.16,1690,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus iridescens,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25525,15,,6500,,,,,deep-water,benthopelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus laciniatus,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13807,4.26,,3393,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus seymouri,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13809,5.9,,3716,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus strabus,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13810,3.95,4.16,4346,,,,,temperate,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus tirmiziae,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13812,10,,2249,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthesicymus urinator,Benthesicymus,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13813,2.5,,4200,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Benthoecetes tanneri,Benthoecetes,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13811,13.5,3.51,2422,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,commercial
Benthonectes filipes,Benthonectes,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25526,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas barbari,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13814,,,,,,,,deep-water,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas bouvieri,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25528,,3.6,3400,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas brevirostris,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25529,,,,,,,,subtropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas capensis,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25530,,3.78,3600,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas crassus,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13816,,,,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas gilchristi,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13817,,2,3400,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas incertus,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13818,,,2300,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas kempi,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13819,,,3143,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas parvus,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13820,,,3935,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas pectinatus,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13821,,,,,,,,subtropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas propinquus,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25532,,,3400,,,,,subtropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas scutatus,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25533,,3.69,3400,,,,,deep-water,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas sordidus,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,13822,,,945,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas talismani,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25534,,,2560,,,,,subtropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas tinayrei,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,14586,,,1400,,,,,deep-water,bathypelagic,marine,TRUE,FALSE,FALSE,Yes,,
Gennadas valens,Gennadas,Benthesicymidae,Decapoda,Malacostraca,Arthropoda,25527,,3.77,3654,,,,,subtropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Bresilia antipodarum,Bresilia,Bresiliidae,Decapoda,Malacostraca,Arthropoda,161717,,,830,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bresilia atlantica,Bresilia,Bresiliidae,Decapoda,Malacostraca,Arthropoda,81165,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bresilia corsicana,Bresilia,Bresiliidae,Decapoda,Malacostraca,Arthropoda,140958,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Lucaya bigelowi,Lucaya,Bresiliidae,Decapoda,Malacostraca,Arthropoda,20730,1.9,,700,,,,,tropical,pelagic,marine,TRUE,FALSE,FALSE,Yes,,
Pseudocheles chacei,Pseudocheles,Bresiliidae,Decapoda,Malacostraca,Arthropoda,24922,,,28,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Allograea tomentosa,Allograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72306,,,2335,,,,,Subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Austinograea alayseae,Austinograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72307,,,2630,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Austinograea hourdezi,Austinograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,167355,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Austinograea jollivetti,Austinograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,167360,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Austinograea rodriguezensis,Austinograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72308,,,3320,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Austinograea williamsi,Austinograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72309,,,3676,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Austinograea yunohana,Austinograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72310,,,1400,,,,,Subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bythograea galapagensis,Bythograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72311,,,2490,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bythograea intermedia,Bythograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72312,,,2490,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bythograea laubieri,Bythograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72313,,,2850,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bythograea microps,Bythograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72314,,,2752,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bythograea thermydron,Bythograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72315,,,2752,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Bythograea vrijenhoeki,Bythograea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72316,,,2338,,,,,Subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cyanagraea praedator,Cyanagraea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,166320,,,2630,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cyanagraea preadator,Cyanagraea,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72317,,,2680,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Gandalfus puia,Gandalfus,Bythograeidae,Decapoda,Malacostraca,Arthropoda,152975,,,1650,,,,,deep-water,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Segonzacia mesatlantica,Segonzacia,Bythograeidae,Decapoda,Malacostraca,Arthropoda,72318,,,3670,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Acanthocarpus alexandri,Acanthocarpus,Calappidae,Decapoda,Malacostraca,Arthropoda,26894,,,1034,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Acanthocarpus bispinosus,Acanthocarpus,Calappidae,Decapoda,Malacostraca,Arthropoda,26895,,,405,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa bilineata,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,153609,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa calappa,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,21135,13,,80,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,No,
Calappa capellonis,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,161722,,,70,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa clypeata,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,161724,,,107,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa convexa,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,162910,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa flammea,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,26885,,4.567,262,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa galloides,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,21136,6,,220,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa gallus,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,26888,6,,218,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,subsistence fisheries
Calappa granulata,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,9318,10,3.94,700,0.31,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,commercial
Calappa hepatica,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,21137,8,4.41,150,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,commercial
Calappa japonica,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,173981,,,163,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa lophos,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,83538,10,,100,,,,,tropical,reef-associated,marine,TRUE,FALSE,FALSE,Yes,,
Calappa nitida,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,162909,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa ocellata,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,26887,,3.23,80,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa pelii,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,84547,7.6,,400,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa philargius,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,83545,12,,100,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa rubroguttata,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,84548,10.8,,90,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,commercial
Calappa sebastieni,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,155323,,,285,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa sulcata,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,26886,,,200,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa tortugae,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,19598,,,238,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappa woodmasoni,Calappa,Calappidae,Decapoda,Malacostraca,Arthropoda,163904,,,76,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Calappula saussurei,Calappula,Calappidae,Decapoda,Malacostraca,Arthropoda,162911,,,,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cryptosoma bairdii,Cryptosoma,Calappidae,Decapoda,Malacostraca,Arthropoda,18328,5.51,,266,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cryptosoma balguerii,Cryptosoma,Calappidae,Decapoda,Malacostraca,Arthropoda,18327,,,230,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cycloes granulosa,Cycloes,Calappidae,Decapoda,Malacostraca,Arthropoda,18329,,,,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cycloes marisrubri,Cycloes,Calappidae,Decapoda,Malacostraca,Arthropoda,18330,,,305,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cyclozodion angustum,Cyclozodion,Calappidae,Decapoda,Malacostraca,Arthropoda,19599,,,421,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Cyclozodion tuberatum,Cyclozodion,Calappidae,Decapoda,Malacostraca,Arthropoda,19600,,,640,,,,,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
Matuta planipes,Matuta,Calappidae,Decapoda,Malacostraca,Arthropoda,83540,11.5,,40,,,,3.16,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,commercial
Matuta victor,Matuta,Calappidae,Decapoda,Malacostraca,Arthropoda,83541,5,3.61,20,,,,3.67,tropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,subsistence fisheries
Mursia armata,Mursia,Calappidae,Decapoda,Malacostraca,Arthropoda,81167,,,260,,,,,subtropical,benthic,marine,TRUE,FALSE,FALSE,Yes,,
