Gene_ID,cds_length
PRSS56,1812
MINDY2,1866
CHRNG,1554
TPST2,1134
GPR148,1044
RIPOR3,2853
CA2,783
CASKIN1,4296
GPX5,666
RGPD4,5277
GPX6,219
ZSWIM4,2970
ADAD2,1752
CDK5R2,1104
HPRT1,657
NANOS3,579
BRME1,2007
TRIQK,261
ZNF782,2100
CC2D1A,2856
DYTN,1737
PDPK1,1671
POLR1D,402
POU5F1,1083
PODNL1,1725
CXorf66,1086
CSPG4,6969
KDM6A,4362
RASL11A,729
TIGD1,1776
C2orf66,303
DCAF15,1803
LACC1,1293
ACSS2,2106
NUP188,5250
ZNF555,1887
RFX1,2940
VPS39,2628
HSPE1-MOB4,786
RHBDD3,1161
RLN3,429
IL27RA,1911
TMEM160,567
ZNF146,879
PALM3,2067
IFT70B,1998
IFT70A,1998
TEX44,1188
PRKACA,1056
GPALPP1,1023
FOXP3,1296
ATXN1L,2070
HLA-C,1194
ASF1B,609
RHOB,591
FAM91A1,2517
CCDC157,2259
ADGRL1,4425
TERF2,1629
TAB1,1515
POTEJ,3117
KLHL1,2247
SAMD1,1617
MRPL54,417
DCUN1D2,780
VEGFD,1065
TMEM204,681
MICA,999
HLA-B,1089
FER1L5,6174
KDM5C,4683
SH2B1,2271
ALOX5AP,486
NIPAL2,1152
PHF11,996
PRR5,1167
SFT2D3,648
RBM44,3156
MTBP,2715
FZD7,1725
H3C1,411
CACNG3,948
RPL21,483
C1GALT1C1L,948
RPL30,348
STPG3,927
ZNF91,3576
NAA60,729
PXT1,405
RABL2B,690
PCBP1,1071
SNAP23,636
HLA-DRB1,801
HOXD12,813
DMRT1,1122
SETDB2,2124
GOLGA1,2304
RAB6D,765
NKX3-1,705
DKK4,675
TNFRSF19,1254
RAB9B,606
GMIP,2913
ATP6V1B2,1536
FGF16,624
TNMD,954
MCTS1,546
DPP7,1479
CENPT,1686
ASPRV1,780
THOC2,4782
KCNE4,513
EXOSC8,831
CRB3,363
CEP152,5133
SGCZ,939
ERLIN2,1020
ADRA2B,1353
TCFL5,1503
AQP12A,888
THSD7B,4821
LANCL3,1263
NT5DC4,1368
NEIL1,1173
OR1L8,930
USP51,2136
JMJD8,795
TMEM268,1029
EVX2,1431
CST1,426
ASIC4,1620
RIN2,2688
LAMP1,1254
LHFPL1,663
PRR30,1239
UCN,375
GAGE12J,354
NCBP1,2373
OXGR1,1014
PRDM13,2124
RBMX,1176
MYO16,5643
C6orf120,576
NELFCD,1746
CIMIP3,339
OXER1,1155
PSPC1,1572
PVALEF,405
PLEC,13644
ZDHHC7,927
ZNF547,1209
SMIM28,459
CCPG1,2424
ZNF227,2400
TRIM43B,1341
MARS2,1782
TRIM14,1329
GJB2,681
SORBS1,3879
CFAP97D2,297
CUL4A,2280
IL36A,477
TBC1D3C,1650
PSG6,1275
IL1F10,459
CHRNA5,1407
CA9,1380
TBC1D3E,1650
DDX3X,1989
TMEM244,387
GPR176,1548
LGALS1,408
CBY2,1347
CREBZF,1065
RBM26,3024
USB1,798
ZNF70,1341
SLC35E4,1053
CDRT15L2,846
CGNL1,3909
MEIS3P2,1077
RFXANK,783
ESF1,2556
CHD9,8694
ESS2,1431
RNF228,1038
TDRD3,2235
PARVG,996
PABPC1L,1860
FIGLA,660
SCYGR10,318
TSPYL6,1233
CYSLTR2,1041
FSIP1,1746
WASF3,1509
CLUAP1,1242
PPP1R3G,1077
VPS33B,1854
HTRA4,1431
TNFSF13B,858
AARD,468
LSR,1806
ITPA,585
OR6B2,939
MRPS31,1188
PRM2,309
ALLC,1176
ZFAND1,807
DERPC,1575
DCDC2C,1095
SHISA2,888
SOX11,1326
H2BC14,381
GGT1,1710
ZNF821,1239
GPR39,1362
RAMACL,357
ZNF830,1119
CPXCR1,906
TUBA4B,726
SUN5,1140
EFHC2,2250
RHCG,1440
ASIP,399
ERAS,702
C8orf88,354
NYX,1431
TXLNB,2055
PRKD2,2637
TGM6,2121
ALAS2,1764
FAM217B,1152
DNAJC5B,600
EPPIN,402
FABP4,399
POLG,3720
ARHGAP6,2925
RBBP8NL,1995
FERMT1,2034
UNCX,1596
FLYWCH2,423
NPBWR1,987
FOXQ1,1212
IL36B,474
ST18,3144
PLAUR,1008
PCDH19,3447
DPEP3,1467
RPRM,330
TAF9B,756
EEF1E1-BLOC1S5,456
FOXA2,1392
NRSN2,615
CHST6,1188
RPS6,750
DRC7,2625
PLS3,1893
COL20A1,3855
TMEM247,659
OTUD6B,882
ZNF823,1833
MPHOSPH6,483
PALM,1164
CRH,591
RBAKDN,246
SPAG1,2781
RPL4,1284
POU3F3,1503
FBXW10B,2259
LYRM1,369
ZGPAT,1536
ZMAT4,690
CSPP1,3681
DLX4,723
TMEM151B,1701
LPIN3,2556
NFX1,3363
GLP1R,1392
CLEC16A,3162
CRYBG1,6396
NMS,462
C6orf141,735
PREX1,4980
CABS1,1188
SMR3A,405
GPR45,1119
OPRPN,747
PPP1R14A,444
H2AC6,393
C6orf58,993
PNMA3,1392
MYADML2,924
TBC1D3,1650
ZNF580,519
ARHGAP4,2841
IREB2,2892
H3C2,411
ZNF440,1788
OR1P1,993
FAM110A,888
TAT,1365
TMPRSS11D,1257
DNAAF3,1626
TSPYL1,1314
SMLR1,324
OVOL2,828
RSPO4,705
PSMG4,372
TBC1D20,1212
CHTF18,2928
SLC35D2,1014
H3-5,408
DSC3,2691
EPB42,2076
RFX2,2172
VGLL2,954
SNRPD1,360
MAPK12,1104
H2BC11,381
HTR2C,1377
PGK2,1254
KLHL14,1887
LRP12,2580
GZF1,2136
CDH7,2358
CDAN1,3684
SLCO5A1,2547
SERINC3,1422
SMARCA1,3213
YES1,1632
ZMYND19,684
MTFR1,1002
GOLGA2,3090
RHOV,711
ZNF429,2025
ANKRD34C,1608
RORA,1572
ZNF414,1173
MAPRE2,984
CSTF1,1296
NFATC3,3228
RPL18A,531
TLR4,2520
SLC51B,387
APOL1,1197
ST8SIA3,1143
SEC11A,540
PTCH1,4344
ZBTB14,1350
PLAG1,1503
OR2A2,954
ARHGEF35,1452
OR2A7,930
RRBP1,4233
NR1D1,1845
SLC5A4,1980
ATP6V1C1,1149
ARHGEF5,4794
ZNF236,5544
NOBOX,2073
PPM1E,2268
MPST,954
ZNF567,1944
SPACA6,975
SLC25A37,1017
HMG20A,1044
CNTNAP2,986
CNDP2,1428
PYCR1,960
ZSCAN18,1533
EGR3,1164
SLA2,786
SPTLC3,1659
DEXI,288
EGFL6,1662
SDCBP,897
MT1A,186
KDM4C,3171
PCYT1B,1110
CELF6,1446
MT1E,384
JAG1,3657
ZNF473,2616
TMSB15C,138
ZNF19,1377
MAGEA10,1110
RPL36A,321
DUX4L9,1125
VAV1,2538
SPINT1,1542
BTN2A2,1572
POLR2F,384
CXorf49,1545
EDC4,4206
RBCK1,1533
RXRA,1389
FKBP15,3660
IL11,600
TRMU,1266
IL7,534
NWD1,4299
COPRS,555
MYLIP,1338
ENTPD4,1851
GANC,2745
THAP9,2712
SRSF12,786
SLC2A9,1623
NFIC,1527
GSTA1,669
APOBEC1,711
BCL2L10,615
NANOGNB,567
SS18L1,1191
TMOD1,1080
USP3,1563
MT1G,189
CST3,441
CFAP418,624
PSMA7,747
MT1F,186
SETD7,1101
NUDT7,717
KISS1R,1197
CDH22,2487
ZBTB7A,1755
CXCL3,324
TDRP,558
RAB33B,690
MYLK2,1791
ACADVL,1968
ARSJ,1800
CER1,804
MAF1,771
PPP6C,918
SULT1A3,888
KDM4F,1917
ELOVL6,798
ZNF772,1347
ELP2,2481
CST9L,444
ITCH,2589
TMDD1,954
RARS2,1737
KCTD15,852
SLC71A2,1521
TSPO,510
THSD4,3057
PRR14,1758
ZNF722,1155
GAK,3936
DNAJC17,915
EID2B,486
LARGE1,2271
DEPTOR,1230
FTL,528
ZNF213,1380
ZNF778,2274
HNF4G,1368
VPS16,2520
SRL,1422
TNFRSF10C,780
SEMA4B,2514
EGFL7,822
ZNF320,1530
TLCD3B,825
THOC6,1026
KLHL22,1905
DEDD2,981
SENP6,3339
GARIN6,726
IGFLR1,1068
CCDC188,1209
IMPA1,834
SMIM41,282
PEAK1,5241
DACT3,1890
CPAMD8,5658
LRRC10,834
ABAT,1503
MRPL46,840
BID,588
CBLIF,1254
TCN1,1302
PPDPF,345
OOSP3,582
CBLN4,606
EBF4,1809
SFRP1,945
SYMPK,3825
EPB41L1,2646
OR9K2,942
EIF4ENIF1,2958
MGRN1,1731
ADAM10,2247
CENPV,819
ZFP91-CNTF,1590
RPL7,747
GNB3,1023
KRT16,1422
ADH1C,1128
MYL4,594
ZSCAN29,2559
VAV2,2637
GLYATL1B,909
ATP10A,4500
ASCC3,6609
GGTLC2,657
FGFR1,2469
CASTOR1,990
PPARGC1A,2397
NDUFAF8,225
MRPS11,585
NXPH3,759
C1QBP,849
MIP,792
ACSM5,1740
CFAP54,9291
OR10V1,930
EWSR1,1971
RPL19,591
C7orf78,771
AVIL,2460
SIRT6,1068
TRBV11-2,347
SVOP,1647
MAEA,1191
ATOSA,3231
ASF1A,615
C12orf76,219
PNISR,2418
SH3GLB2,1188
UFSP1,657
PHLPP2,3972
GTSF1,504
LAMA3,10002
ZNF559,1617
CAPZA3,900
CLEC9A,726
KAT2A,2514
HBQ1,429
ATG5,828
TANGO6,3285
OR10A5,954
OR2D2,927
OR2D3,993
UBTFL1,1182
LAGE3,432
OR56B2,951
PAGE5,333
CYBB,1713
PTGIS,1503
PRR13,447
ZNF330,963
TPM1,855
OR52W1,963
TMEM164,894
DACH2,1800
SLCO4A1,2169
CUTA,597
NFKBID,1368
CDKL5,2883
ZNF570,1611
EIF3C,2742
ZNF431,1731
ZP1,1917
ASS1,1239
APOLD1,747
KCNA5,1842
CELA1,777
UNC119,723
TLR2,2355
ZNF420,2067
EBP,693
PHLPP1,5154
RAE1,1107
SPATA32,1155
SPDYE4,714
OCEL1,795
OTUD4,3345
MAPK4,1764
TRIM51G,1359
BGN,1107
MPEG1,2151
TMX3,1365
CD209,1215
OR4A8,948
OR4A5,948
PPHLN1,1104
H2AX,432
SLC22A10,1626
INS,333
PMEPA1,864
MAGED1,2337
TOMM34,930
CENPC,2832
YJU2B,1191
SMAD2,1404
QSER1,5595
NRIP3,726
RRAS2,615
RBBP9,561
KCNK6,942
EIF2S2,1002
PSG2,1008
CFL1,501
DMP1,1542
GTF3C6,642
MYH16,3345
HSPB6,483
EGF,3624
HOXA10-HOXA9,339
BYSL,1314
TLE1,2313
TMEM30A,1086
RBL1,3207
VRK3,1425
ERVW-1,1617
TRAPPC9,3447
CFAP144P1,408
KIFC1,2022
NTHL1,915
ELMO2,2163
HPF1,1041
AHI1,3591
QRFPR,1296
PITX2,975
ANKRD29,906
GINS4,672
SPATA4,918
FHIP2B,2232
CYLD,2871
SCD5,993
RAPGEF2,4983
CBLN2,675
DHH,1191
RAB31,588
METTL25,1812
DNAAF4,1263
LGI3,1647
PDGFC,1038
STIP1,1632
NR2F2,1245
FABP12,423
WHAMM,2430
MEX3C,1980
THAP6,669
MBOAT4,1308
RTTN,6681
SCARA5,1488
MAP7D3,2631
BSG,1158
CIB1,576
CDK2AP1,348
SPDYE8,798
CACNA1G,7134
PRR14L,6456
GFI1B,993
G3BP2,1449
SPDYE10,798
ALX1,981
BIK,483
ARSF,1773
CD274,873
PFDN4,405
PIGB,1665
ZBED4,3516
FAM236B,240
DUS3L,1953
FAM3A,693
KIAA1671,5421
CADM1,1416
DDX27,2298
JAK2,3399
FBXO15,1533
SNAP29,777
LYPD2,378
POLR2J3,1062
TMEM191C,909
FECH,1272
NHLRC2,2181
EBAG9,642
RTN3,3099
ISYNA1,1677
PHF1,1704
GLRX3,1008
PRPS1L1,957
NRN1L,498
OR2AE1,972
ZNF212,1488
NR1H4,1431
CARD10,3099
AVEN,1089
THOC1,1974
GALNT17,1797
RPUSD2,1638
ASB10,1404
GPC3,1743
CALB1,786
NPY5R,1338
XPA,822
BTBD1,1449
ZSCAN26,1440
TMEM225,678
NDNF,1707
C11orf24,1350
LACTB2,867
TEF,912
KCNK16,885
C19orf85,669
PGCKA1,945
SPOUT1,1131
MAPK8IP2,2475
PANK2,1383
RNASEH2C,495
CHST9,1332
ZNF862,3510
CYP4V2,1578
THAP10,774
ITGB1,2397
PPP1R16B,1704
KCNA4,1962
DSG4,3123
TARS3,2409
ACY3,960
MEP1B,2106
ZNF335,4029
TAF6,2034
DUSP18,567
ZNF280C,2214
PARD6G,1131
RPS19BP1,411
SIGLEC15,987
SSH3,1980
CDH20,2406
HIC2,1848
L3MBTL2,2118
ZNF630,1974
TIMM21,747
PRMT1,1116
TPD52L2,621
PHF2,3291
EPM2AIP1,1824
ZCCHC2,3537
CCNQ,747
LRRK2,7584
ACSL1,2097
OIT3,1638
ANKRD62,2754
FCN1,981
HSDL1,993
AIFM1,1842
TMEM87A,1668
KCNG2,1401
SEC11C,579
IL18BP,585
RGP1,1176
PDIA2,1578
PFKP,2355
ZNF658,3180
ZNF740,582
XRCC6,1830
CCL19,297
SRRM2,8259
MED13L,6633
ABTB2,3078
PTBP3,1575
CASS4,2361
TP53TG5,873
POP1,3075
DUSP15,708
MED17,1956
FPR3,1062
IGFALS,1818
CALML4,462
ZNF665,2037
ZNF774,1452
SIX5,2220
FZD1,1944
STMN3,543
GARIN1B,1029
DNASE2,1083
ANKRD11,7992
PLCB1,3651
C2CD4C,1266
PINLYP,615
CNPY4,747
TRAM1,1125
DLL4,2058
RPL41,78
SLC39A3,945
MED27,936
FERRY3,1659
RPS27L,255
PSMC2,1302
ZBTB9,1422
WTIP,1293
FHOD3,4869
CIAO2A,483
UTF1,1026
WNT2,1083
MTMR8,2115
OBP2A,513
MAP3K11,2544
NFIX,1509
MCM10,2625
MAGEA4,954
EXD1,1719
SPAG8,1458
FBXL18,2157
TMEM70,783
HIGD2B,321
MGA,9345
CCR6,1125
BPI,1452
RINT1,2379
SASH1,3744
IQANK1,1683
OPRK1,1143
AR,2763
RPL35,372
PTPRB,6648
KCNQ3,2619
OPCML,1017
PTK6,1356
SNUPN,1083
ZNF599,1767
SEC61B,291
PAK5,2160
RAB40A,834
SSNA1,360
ME1,1719
EIF2S3,1419
CRISPLD1,1503
SPIRE2,2145
C9orf43,1386
MATN4,1746
P2RY2,1134
MUC12,16008
LAMTOR1,486
SMO,2364
PCSK5,5664
FGF8,735
MMP9,2124
INTS6L,2697
RNF24,447
MBL2,747
IFITM2,399
TSC22D4,1188
BICC1,2925
MVP,2682
POLD4,324
LY96,483
EIF4H,747
ASXL1,4626
SV2B,2052
TRIM64B,1350
MAGED4B,2226
KIRREL3,2337
STN1,1107
SHARPIN,1164
HLA-DRB4,801
SYNGAP1,4032
LGALS12,945
NRG4,348
LDLRAD4,921
KCNK15,993
HAO1,1113
KIF27,4206
ZNF616,2346
DGAT2,1167
PEX2,918
JPH2,2091
RSPRY1,1731
CD40LG,786
HDAC9,3210
PRRX2,762
ANP32A,750
RAB11FIP1,3852
TAF4B,2589
M6PR,834
PIN4,396
ANKEF1,2331
DOLPP1,717
BEX4,363
FBH1,3132
ASB12,957
ACTN3,2706
PDHA1,1173
CDH26,2499
WDR5B,993
SLC7A13,1413
LRRC14,1482
NEFH,3063
SLC7A4,1908
CNBD2,1731
OR5AC1,925
RDH5,957
RPL3,1212
INSL6,642
MSR1,1356
JOSD2,567
PPP4R1,2853
ZDHHC1,1449
PKIG,231
TMEM8B,2775
C12orf56,1869
KCNK4,1182
TCEAL7,303
DUSP9,1155
ATP1A3,3042
SH2B3,1728
LRRC26,1005
MAGEB17,1011
WNK3,5403
ZFPM2,3456
POLR2L,204
SLC25A25,1548
TSPAN3,762
CWC15,690
TEAD4,1305
EBLN2,819
HP,1221
PPP3CC,1539
BFSP2,1248
NR4A3,1881
ACSBG1,2175
KLHL35,1752
BRWD3,5409
SMPD1,1896
POMT1,2178
SASH3,1143
MAP1A,8412
FAM174B,480
CLDN11,624
ANKRD49,720
TXLNG,1587
CRYBG3,8913
IQGAP1,4974
ZDHHC19,930
TMBIM6,714
CCDC9,1596
PRR20G,633
UVSSA,2130
NAALADL2,2388
MSL3,1566
IGFBP1,780
SIX6,741
MACROD2,1347
GPHB5,393
RPL29,480
TMEM74B,771
CLEC14A,1473
MPV17L2,621
ETV1,1434
PTPRA,2409
SLC25A42,957
TRAPPC11,3402
FXYD2,201
MYO5B,5547
H3C6,411
SEC61A1,1431
ELOVL5,900
RPL10L,645
ZNF525,1440
PNPLA5,1290
IL12RB1,1989
THOC5,2052
ZNF596,1515
ONECUT1,1398
CIBAR2,915
RASGRF1,3774
PSMB11,903
FBXO31,1620
ERCC6L2,4653
CD6,2007
MAGEF1,924
MSL2,1734
SNRPC,480
PAF1,1596
OR5K2,951
CDH5,2355
AMOTL2,2343
TFB1M,1041
PPIF,624
ZBTB7C,1860
OR6S1,996
EDDM3A,444
MCM7,2160
EDDM3B,444
RNASE13,471
RNASE7,471
RNASE8,465
OR5AU1,936
GDF10,1437
TBC1D2B,2892
CDKN2AIP,1743
RFPL4B,792
NDP,402
PABPC5,1149
ARHGAP36,1644
COL14A1,5391
SHB,1530
LIAS,1119
L3MBTL3,2343
PLEKHA4,2340
RPRD1A,939
COQ9,957
RETNLB,336
POTEG,1527
KLHL6,1866
ZNF182,1863
OR4N2,924
KLHL15,1815
TMUB1,741
TEX13A,1230
SARDH,2757
NCAM1,2577
MAOA,1584
ABHD2,1278
SLC14A1,1170
RBAK,2145
FAM156A,642
OR10G2,933
RTL1,4077
SRI,597
PTH1R,1782
NKX2-8,720
NAGPA,1548
NRAP,5193
CIMAP1B,762
MARCHF1,1638
CHERP,2751
GPR143,1215
GDPD4,1563
RGL4,1422
NDST4,2619
RPGRIP1,3861
LAMA1,9228
ATF7IP,3813
KLHL4,2157
EIF1AD,498
SPCS3,543
ATP6V1E1,681
ZNF517,1479
ZDHHC2,1104
ARHGAP10,2361
SYNJ2BP-COX16,549
PRKX,1077
ASB4,1281
KCTD5,705
HBD,444
ZNF316,3015
MRGPRX3,969
BCO1,1644
TRIM21,1428
INSM2,1701
FZD6,2121
OR4M1,942
XAGE2,336
OR6J1,1044
OR10G3,942
CHURC1-FNTB,1416
TXNL4B,450
RIC3,1110
INPP5J,3021
LOXHD1,6822
OR4E2,942
MLXIPL,2559
CDH8,2400
LMTK3,4383
IKBKG,1260
MAP2K5,1347
CCND1,888
MVK,1191
ZNF493,2325
NDUFC2,360
SLC7A6OS,930
FXYD7,243
RMC1,1974
C4B_2,5235
PABPN1L,837
TAGLN,606
CLTCL1,4923
TM6SF2,1134
ZNF462,7521
COL8A1,2235
ZNF510,2052
HSPA2,1920
ZNF404,1659
KIT,2931
MLST8,981
ZNF667,1833
TGM3,2082
BIRC7,897
IRF2BPL,2391
GPX2,573
SLC9A8,1746
GPR135,1485
VSX2,1086
STXBP1,1785
OXNAD1,939
SPEF1,711
NARS1,1647
RNASEH2A,900
ACOT6,1266
CCN5,753
NMU,525
PNMA1,1062
ZFP41,597
NOXRED1,1080
ZC4H2,675
FKBP1A,327
RP1,6471
STK11,1302
TBPL2,1032
IGBP1,1020
IGF2,543
MUC22,5322
RNASE12,444
RD3L,597
ZNF626,1587
COX6A1,330
BANF2,273
IKZF4,1758
BCL2L2-PABPN1,1002
PTOV1,1251
FRAS1,12039
ZFP64,2046
TMEM30B,1056
UNC45A,2835
POTEM,1527
CALD1,2382
CT47C1,975
KRABD4,516
PLBD2,1770
HMSD,420
GAL3ST1,1272
TSHZ1,3234
IL25,486
GNAL,1377
ZFP82,1599
LRRC2,1116
RALGAPA2,5622
TIRAP,666
PIAS4,1533
DIO3,915
COMMD5,675
OR4E1,948
OR11H2,948
MAP7D2,2322
SNCA,423
MYL12A,516
PDGFD,1113
OR4Q3,966
SLA,831
TOP1,2298
ASPDH,852
FAM168A,708
CCDC134,690
RARB,1347
MAPK11,1095
GPR33,1002
HBB,444
DSN1,1071
FSCB,2478
RPL6,867
DCAF12L1,1392
C18orf32,231
ZBTB44,1713
MECP2,1497
KLF10,1443
TTLL1,1272
EPN1,1731
SLC66A2,816
ATP6V0D2,1053
NR0B1,1413
RBMX2,969
BATF2,825
SPATA12,573
DUOX1,4656
CCDC107,852
CCDC86,1083
STAP1,888
CCDC160,978
NDRG1,1185
TMEM138,489
HDAC8,1134
FGF5,807
UBA5,1215
DDX60,5139
GPRC5B,1212
CNTFR,1119
P2RY14,1017
ANGPT4,1512
NFATC2,2766
SUN2,2154
TXNDC2,1461
GAREM1,2631
DEF8,1356
CWH43,2100
AKAIN1,210
PTPRM,4398
NKTR,4389
SLC25A22,972
NECAB3,1191
LRRC28,1104
RMP24,663
BBS12,2133
RAPGEFL1,1989
PARM1,933
POLR2K,177
PIEZO2,8598
PTGES2,1134
BDH2,738
MYL7,528
UBOX5,1626
LAPTM4B,681
RAC3,579
OSER1,879
GLTP,630
RPL38,213
WFDC10B,222
POLB,1008
PEPD,1482
PLAGL2,1491
PET117,246
VSIG4,1200
PYGB,2532
HAUS1,837
CARD9,1611
CD96,1710
NICOL1,288
TRAPPC2L,420
CAPN3,2466
RC3H2,3576
APBB2,2280
DCTN6,573
NUP107,2778
NEURL1,1725
SYT7,2061
PRLHR,1113
TP53,1182
PRKCI,1791
TUG1,462
ASCC1,1074
ITFG1,1839
GCAT,1260
VAPA,750
UQCR11,171
ETDB,180
GAGE12G,354
PLTP,1482
ZNF230,1425
RP2,1053
TSC22D3,603
TMEM238,531
ZBTB5,2034
C5AR2,1014
ADGRD2,2949
COL5A3,5238
SMAD7,1281
IDNK,564
ELOVL2,891
GRAP2,993
TMEM200C,1866
MALT1,2475
RPS3,732
ALDH18A1,2388
CCK,348
LMBRD1,1623
SMC1B,3708
NPAS1,1773
PPAT,1554
CLTA,657
RBM38,720
DNAL4,318
CNBP,534
SLC23A2,1953
MXD4,630
SAMM50,1410
ASPH,2277
CDH1,2649
UBE2R2,717
CHMP2A,669
NOL6,3441
CCDC3,813
TAPT1,1704
AZGP1,897
TTR,444
TERB2,663
CIMIP2B,828
ULBP2,741
RERGL,615
CTXN2,246
TEX52,918
KCNK17,999
RAB14,648
GABRA5,1389
PLCXD2,1026
CABLES2,1437
IL17C,594
ZNF850,3273
MRO,747
A4GALT,1062
GOPC,1389
RASSF2,981
TIMMDC1,858
ATP8B3,3903
DHX38,3684
FCN2,942
EGFR,3633
OTOP2,1689
PDE8A,2490
SCARF2,2601
WASHC4,3522
NFKB1,2910
ZNF287,2286
TBC1D2,2787
ZNF845,2913
PSTPIP2,1005
TMEM239,459
RTF2,921
LPAR2,1047
BRPF3,3618
SLFN12,1737
ADD3,2121
RPL35A,333
TXNRD2,1575
MPPE1,1191
TRPT1,762
ZNF28,2157
GNA14,1068
FBXO10,2871
ZNF568,1935
SPMIP10,405
DDX19B,1440
TRIM32,1962
SIRPB2,1029
IL9,435
STOM,867
MATK,1524
SDCBP2,879
RIOX2,1398
HTT,9429
LRFN4,1908
GPR21,1050
SPAM1,1530
AMD1,1005
FOXD4L1,1227
MINAR2,573
DRAP1,618
PRSS37,708
MGME1,1035
ZER1,2301
RAB8B,624
SYN3,1743
EFCAB9,594
ENDOU,1233
KCNJ4,1338
TECTA,6468
TUBA8,1350
STAT3,2313
TMED7-TICAM2,1215
AMDHD1,1281
BUD23,846
HSPBAP1,1467
CKMT1B,1254
GRM5,3639
IL3,459
NDRG3,1128
PEX26,918
REELD1,1581
NDUFAF4,528
PRSS12,2628
FTMT,729
RND1,699
WNT7A,1050
MATCAP1,1416
GPRASP2,2517
ALDH3B1,1407
TTLL12,1935
MBOAT1,1488
DNAJC14,2109
HDDC3,540
KIF4B,3705
SOWAHA,1650
EDNRA,1284
ELK1,1287
TMEM174,732
ARL2BP,492
ALDH1A3,1539
FOXL2NB,528
ACRBP,1632
SHFL,876
GDA,1365
BST1,957
PRSS16,1545
ZC3H12B,2511
PFN3,414
SERPIND1,1500
TSNAXIP1,2139
RLBP1,954
ZNF605,1926
PIGA,1455
RIBC2,1149
TSGA13,828
PROB1,3048
SAA2,369
HTR1A,1269
SETD5,4329
SAXO2,1377
ATF4,1056
KCND2,1893
CDC37L1,1014
TRPC7,2589
MRPS10,606
TNFAIP8L3,615
CALCR,1425
WAS,1509
CIDEA,660
SMAD6,1491
ICAM3,1644
SHISAL1,600
UBE2J1,957
RNF150,1317
ATXN10,1428
SPINK4,261
FBP2,1020
HIP1R,3207
IER3IP1,249
CILP,3555
ANKHD1-EIF4EBP3,7854
SERPINB7,1143
PGPEP1,630
MTAP,852
MMUT,2253
ABHD17C,990
SPIN2B,777
BMP2,1191
PLEKHO2,1473
GPR174,1002
RBM39,1593
MCF2,3006
NKG7,498
DND1,1062
RNF138,738
MANBA,2640
LMAN1L,1581
ZNF699,1929
ARHGAP1,1320
IGIP,162
HUS1,843
ZNF225,2121
LRRC70,1869
TNFRSF11A,1851
FOXD1,1398
SBK2,1047
C1QTNF3-AMACR,855
TBC1D10B,2427
ADRB2,1242
RAB3A,663
SLC25A17,924
UBE3D,1170
RBFA,1032
SNRPA,849
PPP1R2B,618
CRPPA,1356
MYLK3,2460
BTG1,516
FGD3,2178
TMEM31,507
PDCD6-AHRR,222
OR2V2,948
ANXA2R,582
ROCK1,4065
OFD1,3039
TAS2R1,900
TRIM68,1458
OR2V1,948
DNAH5,13875
COL19A1,3429
UPF1,3357
CRELD2,1062
USP2,1818
KIF22,1998
KRABD3,3195
PDHB,1080
GREB1L,5772
VEZT,2340
BIRC2,1857
OR2Y1,936
GPR151,1260
RNF146,1080
TLN2,7629
ZNF540,1983
DCANP1,735
IL13,441
JADE1,2529
LVRN,2973
ZNF565,1500
CRYAB,528
MYOM1,5058
PMPCA,1578
MAOB,1563
ZFP14,1602
TCERG1L,1761
DBNDD1,477
ENTPD1,1533
HSP90AB1,2175
MYL3,588
CNOT4,2142
TAF7,1050
HACL2,1899
SLC25A2,906
CWF19L2,2685
SPSB3,1068
FSD2,2250
SPINK14,294
CNPY1,438
GARIN3,1818
SEH1L,1266
TMEM184A,1242
RHOXF2,867
PHKA1,3672
GMCL2,1581
MTG1,1005
OTP,978
FAM81B,1359
GALK2,1377
P2RX6,1326
GPR150,1305
CATSPER3,1197
NEUROG1,714
AQP4,972
CALU,948
GRM6,2634
SCAF11,4392
AP1G1,2469
EFCC1,1800
POU5F2,987
BCCIP,945
OGT,3141
PPBP,387
PSMG2,795
EIF4E3,675
TUBB4B,1338
SLC6A19,1905
INPP4B,2775
SLC6A18,1887
PIWIL3,2622
TOR1B,1011
ZNF592,3804
PDXP,891
DMC1,1023
MYO1F,3297
GAP43,717
ATF7,1452
KNL1,6951
SMPX,267
ESCO1,2523
CTC1,3654
CNNM1,2856
GRIN1,2817
OCRL,2706
NPY1R,1155
KPNA4,1566
SCRN1,1245
PGPEP1L,429
KLC4,1860
CFAP70,3366
SULT1E1,885
TSSK1B,1104
AEN,978
LINC02218,597
H3Y2,444
H3Y1,411
SLC16A9,1530
STARD5,642
RBM27-POU4F3,3084
PRMT8,1185
MYEF2,1803
KDELR3,645
ARMCX3,1140
GAS2L1,2046
FBLL1,1005
SIRT1,2244
MAP9,1944
NUB1,1848
CEACAM8,1050
SMIM32,312
CDIN1,846
OR4F3,939
TAF11L5,597
TAF11L3,597
SLC25A14,978
TAF11L7,597
TAF11L8,597
PGM5,1704
MARCHF2,741
TAF11L13,597
TAF11L4,597
TAF11L6,597
TAF11L9,597
TAF11L2,597
TAF11L14,594
ABCC9,4650
NUPR1,249
MIEF1,1392
FAM153CP,576
FUT7,1029
TGIF2,714
FIBCD1,1386
BMI1,981
MYO18B,7704
CLTC,5028
TMIGD2,837
LIPC,1500
IZUMO3,720
SRMS,1467
ZNF217,3147
RADX,2568
PCDH12,3555
HNRNPA0,918
FCSK,3255
ADGRF4,2088
GATA5,1194
